hypervectorSize, inputQuant, classVectorQuant, trainIteration, numCorrect
6000, 4, 4, 2, 1379
6000, 4, 4, 3, 1370
6000, 4, 4, 4, 1403
6000, 4, 4, 5, 1411
6000, 4, 4, 6, 1421
6000, 4, 4, 7, 1435
6000, 4, 4, 8, 1438
6000, 4, 4, 9, 1437
6000, 4, 4, 10, 1438
6000, 4, 4, 11, 1440
6000, 4, 4, 12, 1442
6000, 4, 4, 13, 1439
6000, 4, 4, 14, 1437
6000, 4, 4, 15, 1440
6000, 4, 4, 16, 1439
6000, 4, 4, 17, 1436
6000, 4, 4, 18, 1438
6000, 4, 4, 19, 1437
6000, 4, 4, 20, 1437
6000, 8, 4, 1, 1343
6000, 8, 4, 2, 1378
6000, 8, 4, 3, 1387
6000, 8, 4, 4, 1377
6000, 8, 4, 5, 1384
6000, 8, 4, 6, 1427
6000, 8, 4, 7, 1438
6000, 8, 4, 8, 1437
6000, 8, 4, 9, 1437
6000, 8, 4, 10, 1439
6000, 8, 4, 11, 1438
6000, 8, 4, 12, 1436
6000, 8, 4, 13, 1443
6000, 8, 4, 14, 1441
6000, 8, 4, 15, 1441
6000, 8, 4, 16, 1442
6000, 8, 4, 17, 1440
6000, 8, 4, 18, 1442
6000, 8, 4, 19, 1442
6000, 8, 4, 20, 1443
6000, 16, 4, 1, 1353
6000, 16, 4, 2, 1400
6000, 16, 4, 3, 1424
6000, 16, 4, 4, 1421
6000, 16, 4, 5, 1431
6000, 16, 4, 6, 1448
6000, 16, 4, 7, 1448
6000, 16, 4, 8, 1448
6000, 16, 4, 9, 1446
6000, 16, 4, 10, 1443
6000, 16, 4, 11, 1446
6000, 16, 4, 12, 1447
6000, 16, 4, 13, 1444
6000, 16, 4, 14, 1446
6000, 16, 4, 15, 1444
6000, 16, 4, 16, 1445
6000, 16, 4, 17, 1446
6000, 16, 4, 18, 1445
6000, 16, 4, 19, 1446
6000, 16, 4, 20, 1445
6000, 32, 4, 1, 1360
6000, 32, 4, 2, 1394
6000, 32, 4, 3, 1388
6000, 32, 4, 4, 1407
6000, 32, 4, 5, 1424
6000, 32, 4, 6, 1435
6000, 32, 4, 7, 1445
6000, 32, 4, 8, 1444
6000, 32, 4, 9, 1445
6000, 32, 4, 10, 1444
6000, 32, 4, 11, 1444
6000, 32, 4, 12, 1444
6000, 32, 4, 13, 1443
6000, 32, 4, 14, 1442
6000, 32, 4, 15, 1443
6000, 32, 4, 16, 1441
6000, 32, 4, 17, 1439
6000, 32, 4, 18, 1439
6000, 32, 4, 19, 1440
6000, 32, 4, 20, 1440
6000, 64, 4, 1, 1351
6000, 64, 4, 2, 1400
6000, 64, 4, 3, 1399
6000, 64, 4, 4, 1416
6000, 64, 4, 5, 1432
6000, 64, 4, 6, 1439
6000, 64, 4, 7, 1439
6000, 64, 4, 8, 1439
6000, 64, 4, 9, 1440
6000, 64, 4, 10, 1441
6000, 64, 4, 11, 1442
6000, 64, 4, 12, 1442
6000, 64, 4, 13, 1443
6000, 64, 4, 14, 1442
6000, 64, 4, 15, 1440
6000, 64, 4, 16, 1440
6000, 64, 4, 17, 1440
6000, 64, 4, 18, 1440
6000, 64, 4, 19, 1441
6000, 64, 4, 20, 1441
6000, 2, 8, 1, 1357
6000, 2, 8, 2, 1375
6000, 2, 8, 3, 1379
6000, 2, 8, 4, 1409
6000, 2, 8, 5, 1429
6000, 2, 8, 6, 1430
6000, 2, 8, 7, 1433
6000, 2, 8, 8, 1427
6000, 2, 8, 9, 1436
6000, 2, 8, 10, 1435
6000, 2, 8, 11, 1434
6000, 2, 8, 12, 1439
6000, 2, 8, 13, 1435
6000, 2, 8, 14, 1434
6000, 2, 8, 15, 1437
6000, 2, 8, 16, 1437
6000, 2, 8, 17, 1432
6000, 2, 8, 18, 1431
6000, 2, 8, 19, 1431
6000, 2, 8, 20, 1432
6000, 4, 8, 1, 1364
6000, 4, 8, 2, 1416
6000, 4, 8, 3, 1400
6000, 4, 8, 4, 1419
6000, 4, 8, 5, 1435
6000, 4, 8, 6, 1443
6000, 4, 8, 7, 1444
6000, 4, 8, 8, 1441
6000, 4, 8, 9, 1444
6000, 4, 8, 10, 1440
6000, 4, 8, 11, 1443
6000, 4, 8, 12, 1443
6000, 4, 8, 13, 1441
6000, 4, 8, 14, 1443
6000, 4, 8, 15, 1444
6000, 4, 8, 16, 1443
6000, 4, 8, 17, 1444
6000, 4, 8, 18, 1444
6000, 4, 8, 19, 1445
6000, 4, 8, 20, 1443
6000, 8, 8, 1, 1369
6000, 8, 8, 2, 1407
6000, 8, 8, 3, 1406
6000, 8, 8, 4, 1430
6000, 8, 8, 5, 1438
6000, 8, 8, 6, 1445
6000, 8, 8, 7, 1448
6000, 8, 8, 8, 1447
6000, 8, 8, 9, 1450
6000, 8, 8, 10, 1448
6000, 8, 8, 11, 1452
6000, 8, 8, 12, 1450
6000, 8, 8, 13, 1448
6000, 8, 8, 14, 1448
6000, 8, 8, 15, 1448
6000, 8, 8, 16, 1447
6000, 8, 8, 17, 1447
6000, 8, 8, 18, 1447
6000, 8, 8, 19, 1448
6000, 8, 8, 20, 1445
6000, 16, 8, 1, 1364
6000, 16, 8, 2, 1421
6000, 16, 8, 3, 1423
6000, 16, 8, 4, 1446
6000, 16, 8, 5, 1445
6000, 16, 8, 6, 1442
6000, 16, 8, 7, 1446
6000, 16, 8, 8, 1448
6000, 16, 8, 9, 1447
6000, 16, 8, 10, 1446
6000, 16, 8, 11, 1448
6000, 16, 8, 12, 1444
6000, 16, 8, 13, 1445
6000, 16, 8, 14, 1444
6000, 16, 8, 15, 1443
6000, 16, 8, 16, 1443
6000, 16, 8, 17, 1443
6000, 16, 8, 18, 1443
6000, 16, 8, 19, 1444
6000, 16, 8, 20, 1444
6000, 32, 8, 1, 1385
6000, 32, 8, 2, 1407
6000, 32, 8, 3, 1418
6000, 32, 8, 4, 1444
6000, 32, 8, 5, 1453
6000, 32, 8, 6, 1447
6000, 32, 8, 7, 1449
6000, 32, 8, 8, 1451
6000, 32, 8, 9, 1450
6000, 32, 8, 10, 1451
6000, 32, 8, 11, 1448
6000, 32, 8, 12, 1449
6000, 32, 8, 13, 1449
6000, 32, 8, 14, 1448
6000, 32, 8, 15, 1448
6000, 32, 8, 16, 1448
6000, 32, 8, 17, 1450
6000, 32, 8, 18, 1452
6000, 32, 8, 19, 1450
6000, 32, 8, 20, 1450
6000, 64, 8, 1, 1381
6000, 64, 8, 2, 1406
6000, 64, 8, 3, 1420
6000, 64, 8, 4, 1436
6000, 64, 8, 5, 1449
6000, 64, 8, 6, 1449
6000, 64, 8, 7, 1449
6000, 64, 8, 8, 1448
6000, 64, 8, 9, 1447
6000, 64, 8, 10, 1448
6000, 64, 8, 11, 1444
6000, 64, 8, 12, 1448
6000, 64, 8, 13, 1447
6000, 64, 8, 14, 1444
6000, 64, 8, 15, 1445
6000, 64, 8, 16, 1444
6000, 64, 8, 17, 1445
6000, 64, 8, 18, 1444
6000, 64, 8, 19, 1445
6000, 64, 8, 20, 1444
8000, 2, 2, 1, 1271
8000, 2, 2, 2, 1237
8000, 2, 2, 3, 1265
8000, 2, 2, 4, 1289
8000, 2, 2, 5, 1255
8000, 2, 2, 6, 1240
8000, 2, 2, 7, 1310
8000, 2, 2, 8, 1308
8000, 2, 2, 9, 1309
8000, 2, 2, 10, 1327
8000, 2, 2, 11, 1341
8000, 2, 2, 12, 1333
8000, 2, 2, 13, 1348
8000, 2, 2, 14, 1331
8000, 2, 2, 15, 1327
8000, 2, 2, 16, 1327
8000, 2, 2, 17, 1373
8000, 2, 2, 18, 1378
8000, 2, 2, 19, 1383
8000, 2, 2, 20, 1380
8000, 4, 2, 1, 1268
8000, 4, 2, 2, 1252
8000, 4, 2, 3, 1260
8000, 4, 2, 4, 1277
8000, 4, 2, 5, 1236
8000, 4, 2, 6, 1260
8000, 4, 2, 7, 1235
8000, 4, 2, 8, 1175
8000, 4, 2, 9, 1200
8000, 4, 2, 10, 1143
8000, 4, 2, 11, 1178
8000, 4, 2, 12, 1141
8000, 4, 2, 13, 1128
8000, 4, 2, 14, 1057
8000, 8, 2, 1, 1283
8000, 8, 2, 2, 1269
8000, 8, 2, 3, 1282
8000, 8, 2, 4, 1300
8000, 8, 2, 5, 1273
8000, 8, 2, 6, 1278
8000, 8, 2, 7, 1308
8000, 8, 2, 8, 1313
8000, 8, 2, 9, 1342
8000, 8, 2, 10, 1329
8000, 8, 2, 11, 1343
8000, 8, 2, 12, 1336
8000, 8, 2, 13, 1345
8000, 8, 2, 14, 1334
8000, 8, 2, 15, 1367
8000, 8, 2, 16, 1376
8000, 8, 2, 17, 1391
8000, 8, 2, 18, 1392
8000, 8, 2, 19, 1395
8000, 8, 2, 20, 1396
8000, 16, 2, 1, 1279
8000, 16, 2, 2, 1267
8000, 16, 2, 3, 1291
8000, 16, 2, 4, 1302
8000, 16, 2, 5, 1282
8000, 16, 2, 6, 1273
8000, 16, 2, 7, 1270
8000, 16, 2, 8, 1299
8000, 16, 2, 9, 1321
8000, 16, 2, 10, 1321
8000, 16, 2, 11, 1330
